u,v,length_m
391013653,1192945730,83.85861941481907
391013653,2603948895,72.83038147110705
391013663,1192945766,110.94577680174169
391013941,1319962140,259.4849317233176
391013941,1717282356,110.3064391426407
391013941,3825454543,21.87990449110113
391013943,3825454543,87.91430098043924
391013943,2676305051,41.50863210086318
391013943,1192945766,104.6866647148906
391015696,391015697,99.39090337457078
391015696,391015733,56.701083813376336
391015697,4344925246,103.55620405580164
391015697,391018142,40.42491862328263
391015697,4346082928,53.570241194451945
391015732,391015733,83.77936153635281
391015733,391016290,88.69356993285793
391015733,4346082928,119.08517320613659
391015736,4344969018,67.3840146591781
391015736,4344925246,52.637050593591425
391015736,391015737,50.16209248679739
391015736,391016295,84.7809853178045
391015737,391016298,95.52309543332342
391015737,4344925246,81.24055562645255
391016290,391016292,145.77704222953193
391016290,391017387,87.58173060971596
391016292,4344969017,35.24224739683279
391016292,4346082928,83.2220275395634
391016292,391017389,85.95484565350785
391016295,391016298,86.38288043175771
391016295,391017391,84.35687729233788
391016295,4344969017,66.97691247566746
391016298,4346175440,83.06557915709948
391017387,391017681,102.21142936130111
391017387,391017388,109.40969835971933
391017388,391017389,60.234630792348035
391017388,391017683,129.58455801132754
391017389,391017391,100.87579538053919
391017389,391018140,65.05272734056166
391017391,391018363,84.82592659390541
391017391,4346175440,104.8793650588067
391017681,391017682,62.81988093604961
391017682,391017683,56.23799190025041
391017682,391019994,94.33458038277644
391017682,4271747835,45.73462774110266
391017683,4271747836,37.768272442754686
391017683,1273985047,45.116349599782275
391017684,391018140,78.99450724675368
391017684,1273880833,46.6137884109273
391017684,4271747836,38.34251773723123
391018032,1273880833,48.177174293541626
391018032,4271742068,33.48292028870166
391018140,4271747832,40.29772737699826
391018361,4271747839,54.03105891401994
391018361,2174297459,55.482128697341665
391018361,2174304703,107.12673088341512
391018362,391018363,106.29151075829681
391018364,4344925246,41.52305347708237
391019695,4271747837,66.85437273983025
391019695,4271742070,54.7667552660421
391019695,391019946,56.541314946562714
391019718,391019999,43.55777507903919
391019718,391019946,113.1746986061186
391019946,1192969371,113.1677282487513
391019946,4271747838,67.98973732292976
391019994,4271747838,32.43543348467219
391019999,434288316,19.049589640565806
391019999,391020463,72.25192037175775
391020019,391020463,74.79610870303887
391020019,391020020,81.09518089277394
391020019,4271742070,9.940627093967388
391020020,4266831608,21.24794296781132
391020020,4266831605,24.62796059086766
391020322,434288571,31.699889320450154
391020322,391020370,55.948703099809
391020322,434288316,87.27121186759793
391020370,391020463,93.32527458568346
391020370,4271747839,93.40177136033506
391020808,678989885,67.73333762360109
391020808,678989884,99.19667143279773
391020809,678989884,94.4108983832636
391020809,391021178,117.74547479093421
391020809,391020810,136.5805686697584
391020810,391020811,175.73127813498007
391020810,391021179,114.055212671524
391020811,391020814,168.08224937313577
391020814,12620000347,43.89232284284177
391021177,678989831,114.17560497512038
391021177,391021178,96.15696818876091
391021177,678989884,116.48079265975346
391021178,391021179,137.7626452412834
391021178,391023510,114.48703705865148
391021179,391022455,115.16908831185816
391022450,391022455,80.04660960697466
391022450,678989832,138.31351861652087
391022455,391023510,138.77355508442196
391022922,4346341384,61.36972504788274
391022922,391022925,161.86862827426313
391022922,678989810,47.8086086808082
391022925,2489287675,65.62292199556074
391022925,391022927,80.00158332648546
391022925,678989811,93.73957871508982
391022927,678989829,95.72354265847561
391022927,391022972,83.27708714424958
391022927,678989830,101.29422627083562
391022972,4203689689,99.95368489478321
391022972,678989832,80.55525431260862
