u,v,length_m
411941895,4358027276,99.18583291714828
411941895,411941966,187.81096505014858
411941902,411941910,54.43950544310593
411941902,411941950,131.58807320704187
411941910,411941923,37.86325605970675
411941910,411941950,147.38291069276164
411941950,10943403715,54.09922138124543
411941950,411941997,43.71055191574433
411941966,3342114052,8.951447787002916
411941966,4357660621,196.86365211832677
411941997,412185103,10.99014503293175
411941997,412185063,32.50997953178502
411942012,411942042,32.33851048000626
411942012,3394772657,193.15585096045703
411942042,3394762712,47.39188108541791
411942134,3394762712,47.12450016442711
411942134,411942143,91.07325165922798
411942134,412185066,89.09728155300945
411942143,3394759572,33.37426131560506
411942143,412184992,97.46807864404487
412184992,412184996,48.77062247927253
412184992,3394759571,86.6683620785501
412184996,412184999,111.50920605891605
412184996,3394759568,51.09268555847336
412184999,412185070,88.9107148279004
412185062,412185103,49.27900069832224
412185062,412185088,134.3416420806292
412185062,412185088,182.39510372131406
412185063,412185064,41.738885280384785
412185063,412185075,160.4286385052525
412185064,3394762711,95.96539027307101
412185064,412185105,52.235154318726636
412185065,412185108,51.157314402664994
412185065,412185066,33.99416442581274
412185065,3394762711,49.93896078311421
412185066,412185115,120.53002351488604
412185070,412185072,190.14714955323035
412185070,412185115,65.92531657539647
412185072,412185073,51.2312134414974
412185072,412185110,56.51634697451413
412185072,412185109,54.617963590773655
412185073,412185075,39.91792997389841
412185073,412185105,107.9393876740064
412185075,412185080,40.43799244999129
412185080,412185084,10.564008417391173
412185080,412185103,162.30570615046202
412185084,412185088,31.701079755455428
412185084,412185131,56.60286719967946
412185105,412185107,51.685831430321784
412185107,412185108,95.62028183331964
412185107,412185109,54.11291892385468
412185108,412185111,54.289572696870565
412185109,412185111,95.41836481037402
412185110,412185164,62.11850800987548
412185110,412185131,139.9535412561031
412185111,412185115,81.43366356179884
412185120,412191356,58.75054748081023
412185120,412185164,168.74933091043778
412185131,412191531,59.52298737141813
412185131,412185161,50.38600951080544
412185140,1273590578,110.43333516096202
412185140,4357660621,7.565580549004391
412185140,12818587903,30.025995838987836
412185159,412191430,200.95441096507545
412185159,412185161,51.13218419732385
412185159,4905120546,15.117170205131009
412185161,412191429,174.87615234905434
412185164,412191421,92.2576382577038
412189070,1840038921,7.537992684157933
412189070,1840038920,81.88897967837423
412189070,1047198986,81.04755341223589
412189078,412189084,9.550079249547329
412189078,412191376,58.638512780890494
412189084,412189226,63.89363919746582
412189084,3235587567,71.88767261078186
412189088,412189097,62.44612059960736
412189088,412189113,134.40345285468632
412189097,5874072971,28.509966328908618
412189097,412189105,59.409974879108354
412189110,412189111,72.84861689381096
412189110,412189119,87.74623406233549
412189111,412189113,75.53511190013937
412189111,412189143,44.320313837353034
412189111,412189116,119.98445843276136
412189116,412189180,12.2620737264771
412189116,4172468624,86.82869471128303
412189116,5874072761,190.574716005296
412189119,412189122,80.098459299915
412189122,412189178,12.384302276557161
412189122,412189173,63.64600274044294
412189122,4172468624,26.6735297265328
