longitude;latitude;YEAR;DISTRITO;MODALIDAD;ID
-77.02169188;-12.15563909;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21575247.0
-77.01834444;-12.14864469;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22703880.0
-77.01559777;-12.14494299;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21554376.0
-77.02546821;-12.13989195;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21868779.0
-77.02129733;-12.13917511;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21247281.0
-77.02260848;-12.15147829;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21525735.0
-77.01628895;-12.14104135;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22405458.0
-77.0205057;-12.1451858;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21625488.0
-77.02114778;-12.14456135;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22056444.0
-77.02083464;-12.13965465;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22421712.0
-77.02252175;-12.14708414;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21612900.0
-77.01991177;-12.1429338;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;23972484.0
-77.01853499;-12.14067133;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22549785.0
-77.01894647;-12.14508225;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20313576.0
-77.02256906;-12.14219092;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;24083760.0
-77.01830858;-12.14942669;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;23856603.0
-77.01756256;-12.13732204;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21978357.0
-77.01660809;-12.13688085;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;23951712.0
-77.01787278;-12.14782052;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20142084.0
-77.01916086;-12.14534835;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20029446.0
-77.02124434;-12.1536901;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22376940.0
-77.01310502;-12.14104784;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;24900528.0
-77.02322218;-12.15404241;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;25362411.0
-77.0200154;-12.1479559;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20141997.0
-77.01918092;-12.14540921;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;25621446.0
-77.018606;-12.14931188;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21784494.0
-77.01658164;-12.13687631;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20243472.0
-77.01906493;-12.14511113;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20303370.0
-77.01582808;-12.14529269;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21875607.0
-77.0194837;-12.1464461;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22870524.0
-77.0232366;-12.15421422;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20657166.0
-77.02180733;-12.14436102;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21277605.0
-77.01975346;-12.14229589;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;19789998.0
-77.01921021;-12.13213832;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;19862337.0
-77.02188096;-12.1557363;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;19908834.0
-77.02428164;-12.13689395;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;19973985.0
-77.02184251;-12.15279554;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;19975572.0
-77.01960417;-12.14211101;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20012118.0
-77.02113856;-12.14448668;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20028630.0
-77.02287961;-12.15506654;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20033184.0
-77.0197136;-12.1430289;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20135571.0
-77.0179156;-12.14181919;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20225163.0
