cid,lat,lng,district
419,-12.1527928,-77.023365,Barranco
420,-12.1527928,-77.0226278,Barranco
421,-12.1527928,-77.0218906,Barranco
422,-12.1527928,-77.0211533,Barranco
423,-12.1527928,-77.0204161,Barranco
424,-12.1527928,-77.0196789,Barranco
425,-12.1527928,-77.0189417,Barranco
426,-12.1527928,-77.0182045,Barranco
427,-12.1527928,-77.0174672,Barranco
428,-12.1527928,-77.01673,Barranco
429,-12.1527928,-77.0159928,Barranco
430,-12.1527928,-77.0152556,Barranco
431,-12.1527928,-77.0145184,Barranco
432,-12.1527928,-77.0137811,Barranco
433,-12.1527928,-77.0130439,Barranco
434,-12.1527928,-77.0123067,Barranco
435,-12.1527928,-77.0115695,Barranco
436,-12.1527928,-77.0108323,Barranco
437,-12.1527928,-77.010095,Barranco
438,-12.1527928,-77.0093578,Barranco
439,-12.1527928,-77.0086206,Barranco
440,-12.1527928,-77.0078834,Barranco
441,-12.1527928,-77.0071461,Barranco
442,-12.1527928,-77.0064089,Barranco
443,-12.1527928,-77.0056717,Barranco
444,-12.1527928,-77.0049345,Barranco
445,-12.1527928,-77.0041973,Barranco
446,-12.1527928,-77.00346,Barranco
447,-12.1527928,-77.0027228,Barranco
448,-12.1527928,-77.0019856,Barranco
449,-12.1527928,-77.0012484,Barranco
450,-12.1527928,-77.0005112,Barranco
451,-12.1520721,-77.03,Barranco
452,-12.1520721,-77.0292628,Barranco
453,-12.1520721,-77.0285256,Barranco
454,-12.1520721,-77.0277883,Barranco
455,-12.1520721,-77.0270511,Barranco
456,-12.1520721,-77.0263139,Barranco
457,-12.1520721,-77.0255767,Barranco
458,-12.1520721,-77.0248395,Barranco
459,-12.1520721,-77.0241022,Barranco
460,-12.1520721,-77.023365,Barranco
461,-12.1520721,-77.0226278,Barranco
462,-12.1520721,-77.0218906,Barranco
463,-12.1520721,-77.0211533,Barranco
464,-12.1520721,-77.0204161,Barranco
465,-12.1520721,-77.0196789,Barranco
466,-12.1520721,-77.0189417,Barranco
467,-12.1520721,-77.0182045,Barranco
468,-12.1520721,-77.0174672,Barranco
469,-12.1520721,-77.01673,Barranco
470,-12.1520721,-77.0159928,Barranco
471,-12.1520721,-77.0152556,Barranco
472,-12.1520721,-77.0145184,Barranco
473,-12.1520721,-77.0137811,Barranco
474,-12.1520721,-77.0130439,Barranco
475,-12.1520721,-77.0123067,Barranco
476,-12.1520721,-77.0115695,Barranco
477,-12.1520721,-77.0108323,Barranco
478,-12.1520721,-77.010095,Barranco
479,-12.1520721,-77.0093578,Barranco
480,-12.1520721,-77.0086206,Barranco
481,-12.1520721,-77.0078834,Barranco
482,-12.1520721,-77.0071461,Barranco
483,-12.1520721,-77.0064089,Barranco
484,-12.1520721,-77.0056717,Barranco
485,-12.1520721,-77.0049345,Barranco
486,-12.1520721,-77.0041973,Barranco
487,-12.1520721,-77.00346,Barranco
488,-12.1520721,-77.0027228,Barranco
489,-12.1520721,-77.0019856,Barranco
490,-12.1520721,-77.0012484,Barranco
491,-12.1520721,-77.0005112,Barranco
492,-12.1513514,-77.03,Barranco
493,-12.1513514,-77.0292628,Barranco
494,-12.1513514,-77.0285256,Barranco
495,-12.1513514,-77.0277883,Barranco
496,-12.1513514,-77.0270511,Barranco
497,-12.1513514,-77.0263139,Barranco
498,-12.1513514,-77.0255767,Barranco
499,-12.1513514,-77.0248395,Barranco
500,-12.1513514,-77.0241022,Barranco
501,-12.1513514,-77.023365,Barranco
502,-12.1513514,-77.0226278,Barranco
503,-12.1513514,-77.0218906,Barranco
504,-12.1513514,-77.0211533,Barranco
505,-12.1513514,-77.0204161,Barranco
506,-12.1513514,-77.0196789,Barranco
507,-12.1513514,-77.0189417,Barranco
508,-12.1513514,-77.0182045,Barranco
509,-12.1513514,-77.0174672,Barranco
510,-12.1513514,-77.01673,Barranco
511,-12.1513514,-77.0159928,Barranco
512,-12.1513514,-77.0152556,Barranco
513,-12.1513514,-77.0145184,Barranco
514,-12.1513514,-77.0137811,Barranco
515,-12.1513514,-77.0130439,Barranco
516,-12.1513514,-77.0123067,Barranco
517,-12.1513514,-77.0115695,Barranco
518,-12.1513514,-77.0108323,Barranco
519,-12.1513514,-77.010095,Barranco
520,-12.1513514,-77.0093578,Barranco
521,-12.1513514,-77.0086206,Barranco
522,-12.1513514,-77.0078834,Barranco
523,-12.1513514,-77.0071461,Barranco
524,-12.1513514,-77.0064089,Barranco
525,-12.1513514,-77.0056717,Barranco
526,-12.1513514,-77.0049345,Barranco
527,-12.1513514,-77.0041973,Barranco
528,-12.1513514,-77.00346,Barranco
529,-12.1513514,-77.0027228,Barranco
530,-12.1513514,-77.0019856,Barranco
531,-12.1513514,-77.0012484,Barranco
532,-12.1513514,-77.0005112,Barranco
533,-12.1506306,-77.03,Barranco
534,-12.1506306,-77.0292628,Barranco
535,-12.1506306,-77.0285256,Barranco
536,-12.1506306,-77.0277883,Barranco
537,-12.1506306,-77.0270511,Barranco
538,-12.1506306,-77.0263139,Barranco
539,-12.1506306,-77.0255767,Barranco
540,-12.1506306,-77.0248395,Barranco
541,-12.1506306,-77.0241022,Barranco
542,-12.1506306,-77.023365,Barranco
543,-12.1506306,-77.0226278,Barranco
544,-12.1506306,-77.0218906,Barranco
545,-12.1506306,-77.0211533,Barranco
546,-12.1506306,-77.0204161,Barranco
547,-12.1506306,-77.0196789,Barranco
548,-12.1506306,-77.0189417,Barranco
549,-12.1506306,-77.0182045,Barranco
550,-12.1506306,-77.0174672,Barranco
551,-12.1506306,-77.01673,Barranco
552,-12.1506306,-77.0159928,Barranco
553,-12.1506306,-77.0152556,Barranco
554,-12.1506306,-77.0145184,Barranco
555,-12.1506306,-77.0137811,Barranco
556,-12.1506306,-77.0130439,Barranco
557,-12.1506306,-77.0123067,Barranco
558,-12.1506306,-77.0115695,Barranco
559,-12.1506306,-77.0108323,Barranco
560,-12.1506306,-77.010095,Barranco
561,-12.1506306,-77.0093578,Barranco
562,-12.1506306,-77.0086206,Barranco
563,-12.1506306,-77.0078834,Barranco
564,-12.1506306,-77.0071461,Barranco
565,-12.1506306,-77.0064089,Barranco
566,-12.1506306,-77.0056717,Barranco
567,-12.1506306,-77.0049345,Barranco
568,-12.1506306,-77.0041973,Barranco
569,-12.1506306,-77.00346,Barranco
570,-12.1506306,-77.0027228,Barranco
571,-12.1506306,-77.0019856,Barranco
572,-12.1506306,-77.0012484,Barranco
573,-12.1506306,-77.0005112,Barranco
574,-12.1499099,-77.03,Barranco
575,-12.1499099,-77.0292628,Barranco
576,-12.1499099,-77.0285256,Barranco
577,-12.1499099,-77.0277883,Barranco
578,-12.1499099,-77.0270511,Barranco
579,-12.1499099,-77.0263139,Barranco
580,-12.1499099,-77.0255767,Barranco
581,-12.1499099,-77.0248395,Barranco
582,-12.1499099,-77.0241022,Barranco
583,-12.1499099,-77.023365,Barranco
584,-12.1499099,-77.0226278,Barranco
585,-12.1499099,-77.0218906,Barranco
586,-12.1499099,-77.0211533,Barranco
587,-12.1499099,-77.0204161,Barranco
588,-12.1499099,-77.0196789,Barranco
589,-12.1499099,-77.0189417,Barranco
590,-12.1499099,-77.0182045,Barranco
591,-12.1499099,-77.0174672,Barranco
592,-12.1499099,-77.01673,Barranco
593,-12.1499099,-77.0159928,Barranco
594,-12.1499099,-77.0152556,Barranco
595,-12.1499099,-77.0145184,Barranco
596,-12.1499099,-77.0137811,Barranco
597,-12.1499099,-77.0130439,Barranco
598,-12.1499099,-77.0123067,Barranco
599,-12.1499099,-77.0115695,Barranco
600,-12.1499099,-77.0108323,Barranco
601,-12.1499099,-77.010095,Barranco
602,-12.1499099,-77.0093578,Barranco
603,-12.1499099,-77.0086206,Barranco
604,-12.1499099,-77.0078834,Barranco
605,-12.1499099,-77.0071461,Barranco
606,-12.1499099,-77.0064089,Barranco
607,-12.1499099,-77.0056717,Barranco
608,-12.1499099,-77.0049345,Barranco
609,-12.1499099,-77.0041973,Barranco
610,-12.1499099,-77.00346,Barranco
611,-12.1499099,-77.0027228,Barranco
612,-12.1499099,-77.0019856,Barranco
613,-12.1499099,-77.0012484,Barranco
614,-12.1499099,-77.0005112,Barranco
615,-12.1491892,-77.03,Barranco
616,-12.1491892,-77.0292628,Barranco
617,-12.1491892,-77.0285256,Barranco
618,-12.1491892,-77.0277883,Barranco
619,-12.1491892,-77.0270511,Barranco
620,-12.1491892,-77.0263139,Barranco
621,-12.1491892,-77.0255767,Barranco
622,-12.1491892,-77.0248395,Barranco
623,-12.1491892,-77.0241022,Barranco
624,-12.1491892,-77.023365,Barranco
625,-12.1491892,-77.0226278,Barranco
626,-12.1491892,-77.0218906,Barranco
627,-12.1491892,-77.0211533,Barranco
628,-12.1491892,-77.0204161,Barranco
629,-12.1491892,-77.0196789,Barranco
630,-12.1491892,-77.0189417,Barranco
631,-12.1491892,-77.0182045,Barranco
632,-12.1491892,-77.0174672,Barranco
633,-12.1491892,-77.01673,Barranco
634,-12.1491892,-77.0159928,Barranco
635,-12.1491892,-77.0152556,Barranco
636,-12.1491892,-77.0145184,Barranco
637,-12.1491892,-77.0137811,Barranco
638,-12.1491892,-77.0130439,Barranco
639,-12.1491892,-77.0123067,Barranco
640,-12.1491892,-77.0115695,Barranco
641,-12.1491892,-77.0108323,Barranco
642,-12.1491892,-77.010095,Barranco
643,-12.1491892,-77.0093578,Barranco
644,-12.1491892,-77.0086206,Barranco
645,-12.1491892,-77.0078834,Barranco
646,-12.1491892,-77.0071461,Barranco
647,-12.1491892,-77.0064089,Barranco
648,-12.1491892,-77.0056717,Barranco
649,-12.1491892,-77.0049345,Barranco
650,-12.1491892,-77.0041973,Barranco
651,-12.1491892,-77.00346,Barranco
652,-12.1491892,-77.0027228,Barranco
653,-12.1491892,-77.0019856,Barranco
654,-12.1491892,-77.0012484,Barranco
655,-12.1491892,-77.0005112,Barranco
656,-12.1484685,-77.03,Barranco
657,-12.1484685,-77.0292628,Barranco
658,-12.1484685,-77.0285256,Barranco
659,-12.1484685,-77.0277883,Barranco
660,-12.1484685,-77.0270511,Barranco
661,-12.1484685,-77.0263139,Barranco
662,-12.1484685,-77.0255767,Barranco
663,-12.1484685,-77.0248395,Barranco
664,-12.1484685,-77.0241022,Barranco
665,-12.1484685,-77.023365,Barranco
666,-12.1484685,-77.0226278,Barranco
667,-12.1484685,-77.0218906,Barranco
668,-12.1484685,-77.0211533,Barranco
669,-12.1484685,-77.0204161,Barranco
670,-12.1484685,-77.0196789,Barranco
671,-12.1484685,-77.0189417,Barranco
672,-12.1484685,-77.0182045,Barranco
673,-12.1484685,-77.0174672,Barranco
674,-12.1484685,-77.01673,Barranco
