YEAR,DISTRITO,cluster,centroid_x,centroid_y,n_puntos,centroid_lon,centroid_lat
2019,La Victoria,96,-8572639.985245299,-1352905.3386667203,10,-77.00933524000001,-12.063230912118657
2019,La Victoria,97,-8573112.487199541,-1352940.628821042,22,-77.01357979727273,-12.063540928282748
2019,La Victoria,98,-8573148.027433345,-1353424.2961263817,16,-77.01389906062501,-12.06778980195723
2019,La Victoria,99,-8573217.442687383,-1353626.5392524577,13,-77.01452262846153,-12.069566427801819
2019,La Victoria,100,-8573221.377684588,-1353501.6536502053,14,-77.01455797714286,-12.068469358588333
2019,La Victoria,101,-8573246.422568915,-1353171.012441007,12,-77.01478295916667,-12.065564788382158
2019,La Victoria,102,-8573308.804650985,-1353008.113199604,36,-77.01534334694445,-12.064133762554862
2019,La Victoria,103,-8572985.14347888,-1353121.3481382087,12,-77.01243584916666,-12.06512850170876
2019,La Victoria,104,-8573002.830321565,-1352979.9037660686,18,-77.01259473277779,-12.063885949526261
2019,La Victoria,105,-8572671.32033022,-1353036.533593003,14,-77.00961672785714,-12.064383428583028
2019,La Victoria,106,-8572673.723956566,-1353089.9434326466,18,-77.00963832,-12.064852620000002
2019,La Victoria,107,-8572688.46033799,-1353073.5572379993,12,-77.00977069916665,-12.064708671670012
2019,La Victoria,108,-8572912.959189972,-1353476.7737461145,21,-77.01178740666667,-12.0682507982153
2019,La Victoria,109,-8572961.614443142,-1353318.5981207716,33,-77.01222448424242,-12.066861282111287
2019,La Victoria,110,-8572926.770970259,-1352679.9663583285,10,-77.01191148,-12.061251058013468
2019,La Victoria,111,-8573038.492910307,-1352792.9178698785,19,-77.01291509526317,-12.062243318008843
2019,La Victoria,112,-8573015.33933506,-1352680.8616079025,19,-77.01270710315791,-12.061258922644551
2019,La Victoria,113,-8573064.36408727,-1352671.2322290698,8,-77.0131475,-12.061174330006782
2019,Barranco,0,-8573845.344198342,-1360783.2498596895,27,-77.0201631637037,-12.132427703232484
2019,Barranco,1,-8574391.310970774,-1362460.324820484,9,-77.02506766666667,-12.147156222222222
2019,Barranco,2,-8574182.093493462,-1363187.2554562197,22,-77.02318823409092,-12.153540067576836
2019,Barranco,3,-8574126.439266812,-1363402.3437353978,30,-77.02268828366667,-12.155428925879525
2019,Barranco,4,-8573230.083591623,-1361486.7790055184,11,-77.01463618363638,-12.138606382735398
2019,Barranco,5,-8573313.383561784,-1361545.3021117793,11,-77.01538448,-12.13912035003535
2019,Barranco,6,-8573540.12874832,-1361211.857454597,15,-77.01742136666665,-12.13619192675581
2019,Barranco,7,-8573367.464796802,-1361361.4974985179,9,-77.0158703,-12.137506120000007
2019,Barranco,8,-8573433.2314243,-1361304.4982330895,24,-77.01646109166667,-12.137005532502101
2019,Barranco,9,-8574077.758344378,-1361278.098102048,20,-77.0222509755,-12.13677367699293
2019,Barranco,10,-8573992.004691927,-1363105.7343350577,15,-77.02148063733333,-12.152824163386471
2019,Barranco,11,-8573711.61952734,-1363075.776886032,11,-77.01896189454546,-12.15256108183849
2019,Barranco,12,-8573786.749658875,-1362930.5165059606,13,-77.01963680000001,-12.151285424618285
2019,Barranco,13,-8573939.949600464,-1361558.9654178764,53,-77.02101301849056,-12.139240345104565
2019,Barranco,14,-8573891.145422814,-1362779.9805863493,29,-77.02057460310344,-12.14996343186317
2019,Barranco,15,-8574105.44789886,-1362947.073931447,12,-77.02249971500001,-12.151430830022143
2019,Barranco,16,-8574029.310129156,-1362842.8004637712,9,-77.02181575777779,-12.15051511111182
2019,Barranco,17,-8574061.912118232,-1362894.0618334073,14,-77.02210862642858,-12.150965283602027
2019,Barranco,18,-8573871.671163676,-1361306.952793971,14,-77.02039966285714,-12.137027089334207
2019,Barranco,19,-8573754.963074025,-1361296.6792933336,8,-77.01935125624999,-12.13693686376329
2019,Barranco,20,-8574402.471895188,-1361469.8554918354,23,-77.02516792695653,-12.13845775522729
2019,Barranco,21,-8573735.10817603,-1362769.8320149335,9,-77.01917289666667,-12.14987430779568
2019,Barranco,22,-8574218.716037339,-1362454.7595865438,15,-77.02351722,-12.147107348202539
2019,Barranco,23,-8574334.859060256,-1362080.7576249272,19,-77.0245605505263,-12.143822833325931
2019,Barranco,24,-8573629.268449016,-1362611.5805184755,9,-77.01822212222223,-12.14848455000049
2019,Barranco,25,-8573687.949269334,-1362690.7114156822,10,-77.01874926099998,-12.149179475023315
2019,Barranco,26,-8573637.969100019,-1362738.5138988676,20,-77.0183002815,-12.149599274031349
2019,Barranco,27,-8573974.487382643,-1362104.5103542325,18,-77.02132327666668,-12.144031432882722
2019,Barranco,28,-8574045.454143165,-1361990.1715530003,26,-77.02196078192308,-12.143027293165382
2019,Barranco,29,-8574234.821254244,-1361617.6547860224,16,-77.023661895625,-12.139755771337631
2019,Barranco,30,-8574213.207984842,-1361841.209922101,31,-77.02346774032257,-12.141719085122457
2019,Barranco,31,-8573203.19427091,-1361837.2273357394,29,-77.01439463275862,-12.141684109238962
2019,Barranco,32,-8574167.06132868,-1362148.9151682656,14,-77.02305319785715,-12.144421401294167
2019,Barranco,33,-8573406.513014873,-1362435.2125105201,18,-77.01622107611112,-12.146935685234883
2019,Barranco,34,-8573823.44481342,-1362527.4255663124,11,-77.01996643818181,-12.147745501895965
